PC1,PC2,Estado
170.79755895263673,168.89671222766813,Enferma
348.8785913084883,90.67079165205645,Enferma
319.1422499398144,174.4082770818584,Enferma
257.89320775354304,136.2404253572078,Enferma
75.73563325203152,-245.67477143740675,Sana
-684.3868920609494,236.13524235660057,Sana
24.05479858762356,-164.08435223170565,Sana
-156.32804677686627,-57.53000491437735,Sana
-29.281526044378293,-131.39363650315477,Sana
-141.91728211832722,-66.72501485723542,Sana
-62.67220806081243,-111.56008564679158,Sana
-121.91608473280405,-29.38358308471987,Sana
